batchNumber,item,type,location,status
200,Bicycle,B2C,Desk 200,OK
201,Bicycle,B2C,Desk 201,OK
202,Bicycle,B2C,Desk 202,OK
203,Bicycle,B2C,Desk 203,OK
204,Bicycle,B2C,Desk 204,OK
205,Bicycle,B2C,Desk 205,OK
206,Bicycle,B2C,Desk 206,OK
207,Bicycle,B2C,Desk 207,OK
208,Bicycle,B2C,Desk 208,OK
209,Bicycle,B2C,Desk 209,OK
210,Bicycle,B2C,Desk 210,OK
211,Bicycle,B2C,Desk 211,OK
212,Bicycle,B2C,Desk 212,OK
213,Bicycle,B2C,Desk 213,OK
214,Bicycle,B2C,Desk 214,OK
215,Bicycle,B2C,Desk 215,OK
216,Bicycle,B2C,Desk 216,OK
217,Bicycle,B2C,Desk 217,OK
218,Bicycle,B2C,Desk 218,OK
219,Bicycle,B2C,Desk 219,OK
220,Bicycle,B2C,Desk 220,OK
221,Bicycle,B2C,Desk 221,OK
222,Bicycle,B2C,Desk 222,OK
223,Bicycle,B2C,Desk 223,OK
224,Bicycle,B2C,Desk 224,OK
225,Bicycle,B2C,Desk 225,OK
226,Bicycle,B2C,Desk 226,OK
227,Bicycle,B2C,Desk 227,OK
228,Bicycle,B2C,Desk 228,OK
229,Bicycle,B2C,Desk 229,OK
230,Bicycle,B2C,Desk 230,OK
231,Bicycle,B2C,Desk 231,OK
232,Bicycle,B2C,Desk 232,OK
233,Bicycle,B2C,Desk 233,OK
234,Bicycle,B2C,Desk 234,OK
235,Bicycle,B2C,Desk 235,OK
236,Bicycle,B2C,Desk 236,OK
237,Bicycle,B2C,Desk 237,OK
238,Bicycle,B2C,Desk 238,OK
239,Bicycle,B2C,Desk 239,OK
240,Bicycle,B2C,Desk 240,OK
241,Bicycle,B2C,Desk 241,OK
242,Bicycle,B2C,Desk 242,OK
243,Bicycle,B2C,Desk 243,OK
244,Bicycle,B2C,Desk 244,OK
245,Bicycle,B2C,Desk 245,OK
246,Bicycle,B2C,Desk 246,OK
247,Bicycle,B2C,Desk 247,OK
248,Bicycle,B2C,Desk 248,OK
249,Bicycle,B2C,Desk 249,OK
250,Bicycle,B2C,Desk 250,OK
251,Bicycle,B2C,Desk 251,OK
252,Bicycle,B2C,Desk 252,OK
253,Bicycle,B2C,Desk 253,OK
254,Bicycle,B2C,Desk 254,OK
255,Bicycle,B2C,Desk 255,OK
256,Bicycle,B2C,Desk 256,OK
257,Bicycle,B2C,Desk 257,OK
258,Bicycle,B2C,Desk 258,OK
259,Bicycle,B2C,Desk 259,OK
260,Bicycle,B2C,Desk 260,OK
261,Bicycle,B2C,Desk 261,OK
262,Bicycle,B2C,Desk 262,OK
263,Bicycle,B2C,Desk 263,OK
264,Bicycle,B2C,Desk 264,OK
265,Bicycle,B2C,Desk 265,OK
266,Bicycle,B2C,Desk 266,OK
267,Bicycle,B2C,Desk 267,OK
268,Bicycle,B2C,Desk 268,OK
269,Bicycle,B2C,Desk 269,OK
270,Bicycle,B2C,Desk 270,OK
271,Bicycle,B2C,Desk 271,OK
272,Bicycle,B2C,Desk 272,OK
273,Bicycle,B2C,Desk 273,OK
274,Bicycle,B2C,Desk 274,OK
275,Bicycle,B2C,Desk 275,OK
276,Bicycle,B2C,Desk 276,OK
277,Bicycle,B2C,Desk 277,OK
278,Bicycle,B2C,Desk 278,OK
279,Bicycle,B2C,Desk 279,OK
280,Bicycle,B2C,Desk 280,OK
281,Bicycle,B2C,Desk 281,OK
282,Bicycle,B2C,Desk 282,OK
283,Bicycle,B2C,Desk 283,OK
284,Bicycle,B2C,Desk 284,OK
285,Bicycle,B2C,Desk 285,OK
286,Bicycle,B2C,Desk 286,OK
287,Bicycle,B2C,Desk 287,OK
288,Bicycle,B2C,Desk 288,OK
289,Bicycle,B2C,Desk 289,OK
290,Bicycle,B2C,Desk 290,OK
291,Bicycle,B2C,Desk 291,OK
292,Bicycle,B2C,Desk 292,OK
293,Bicycle,B2C,Desk 293,OK
294,Bicycle,B2C,Desk 294,OK
295,Bicycle,B2C,Desk 295,OK
296,Bicycle,B2C,Desk 296,OK
297,Bicycle,B2C,Desk 297,OK
298,Bicycle,B2C,Desk 298,OK
299,Bicycle,B2C,Desk 299,OK
300,Bicycle,B2C,Desk 300,OK
301,Bicycle,B2C,Desk 301,OK
302,Bicycle,B2C,Desk 302,OK
303,Bicycle,B2C,Desk 303,OK
304,Bicycle,B2C,Desk 304,OK
305,Bicycle,B2C,Desk 305,OK
306,Bicycle,B2C,Desk 306,OK
307,Bicycle,B2C,Desk 307,OK
308,Bicycle,B2C,Desk 308,OK
309,Bicycle,B2C,Desk 309,OK
310,Bicycle,B2C,Desk 310,OK
311,Bicycle,B2C,Desk 311,OK
312,Bicycle,B2C,Desk 312,OK
313,Bicycle,B2C,Desk 313,OK
314,Bicycle,B2C,Desk 314,OK
315,Bicycle,B2C,Desk 315,OK
316,Bicycle,B2C,Desk 316,OK
317,Bicycle,B2C,Desk 317,OK
318,Bicycle,B2C,Desk 318,OK
319,Bicycle,B2C,Desk 319,OK
320,Bicycle,B2C,Desk 320,OK
321,Bicycle,B2C,Desk 321,OK
322,Bicycle,B2C,Desk 322,OK
323,Bicycle,B2C,Desk 323,OK
324,Bicycle,B2C,Desk 324,OK
325,Bicycle,B2C,Desk 325,OK
326,Bicycle,B2C,Desk 326,OK
327,Bicycle,B2C,Desk 327,OK
328,Bicycle,B2C,Desk 328,OK
329,Bicycle,B2C,Desk 329,OK
330,Bicycle,B2C,Desk 330,OK
331,Bicycle,B2C,Desk 331,OK
332,Bicycle,B2C,Desk 332,OK
333,Bicycle,B2C,Desk 333,OK
334,Bicycle,B2C,Desk 334,OK
335,Bicycle,B2C,Desk 335,OK
336,Bicycle,B2C,Desk 336,OK
337,Bicycle,B2C,Desk 337,OK
338,Bicycle,B2C,Desk 338,OK
339,Bicycle,B2C,Desk 339,OK
340,Bicycle,B2C,Desk 340,OK
341,Bicycle,B2C,Desk 341,OK
342,Bicycle,B2C,Desk 342,OK
343,Bicycle,B2C,Desk 343,OK
344,Bicycle,B2C,Desk 344,OK
345,Bicycle,B2C,Desk 345,OK
346,Bicycle,B2C,Desk 346,OK
347,Bicycle,B2C,Desk 347,OK
348,Bicycle,B2C,Desk 348,OK
349,Bicycle,B2C,Desk 349,OK
350,Bicycle,B2C,Desk 350,OK
351,Bicycle,B2C,Desk 351,OK
352,Bicycle,B2C,Desk 352,OK
353,Bicycle,B2C,Desk 353,OK
354,Bicycle,B2C,Desk 354,OK
355,Bicycle,B2C,Desk 355,OK
356,Bicycle,B2C,Desk 356,OK
357,Bicycle,B2C,Desk 357,OK
358,Bicycle,B2C,Desk 358,OK
359,Bicycle,B2C,Desk 359,OK
360,Bicycle,B2C,Desk 360,OK
361,Bicycle,B2C,Desk 361,OK
362,Bicycle,B2C,Desk 362,OK
363,Bicycle,B2C,Desk 363,OK
364,Bicycle,B2C,Desk 364,OK
365,Bicycle,B2C,Desk 365,OK
366,Bicycle,B2C,Desk 366,OK
367,Bicycle,B2C,Desk 367,OK
368,Bicycle,B2C,Desk 368,OK
369,Bicycle,B2C,Desk 369,OK
370,Bicycle,B2C,Desk 370,OK
371,Bicycle,B2C,Desk 371,OK
372,Bicycle,B2C,Desk 372,OK
373,Bicycle,B2C,Desk 373,OK
374,Bicycle,B2C,Desk 374,OK
375,Bicycle,B2C,Desk 375,OK
376,Bicycle,B2C,Desk 376,OK
377,Bicycle,B2C,Desk 377,OK
378,Bicycle,B2C,Desk 378,OK
379,Bicycle,B2C,Desk 379,OK
380,Bicycle,B2C,Desk 380,OK
381,Bicycle,B2C,Desk 381,OK
382,Bicycle,B2C,Desk 382,OK
383,Bicycle,B2C,Desk 383,OK
384,Bicycle,B2C,Desk 384,OK
385,Bicycle,B2C,Desk 385,OK
386,Bicycle,B2C,Desk 386,OK
387,Bicycle,B2C,Desk 387,OK
388,Bicycle,B2C,Desk 388,OK
389,Bicycle,B2C,Desk 389,OK
390,Bicycle,B2C,Desk 390,OK
391,Bicycle,B2C,Desk 391,OK
392,Bicycle,B2C,Desk 392,OK
393,Bicycle,B2C,Desk 393,OK
394,Bicycle,B2C,Desk 394,OK
395,Bicycle,B2C,Desk 395,OK
396,Bicycle,B2C,Desk 396,OK
397,Bicycle,B2C,Desk 397,OK
398,Bicycle,B2C,Desk 398,OK
399,Bicycle,B2C,Desk 399,OK
400,Bicycle,B2C,Desk 400,OK
401,Bicycle,B2C,Desk 401,OK
402,Bicycle,B2C,Desk 402,OK
403,Bicycle,B2C,Desk 403,OK
404,Bicycle,B2C,Desk 404,OK
405,Bicycle,B2C,Desk 405,OK
406,Bicycle,B2C,Desk 406,OK
407,Bicycle,B2C,Desk 407,OK
408,Bicycle,B2C,Desk 408,OK
409,Bicycle,B2C,Desk 409,OK
410,Bicycle,B2C,Desk 410,OK
411,Bicycle,B2C,Desk 411,OK
412,Bicycle,B2C,Desk 412,OK
413,Bicycle,B2C,Desk 413,OK
414,Bicycle,B2C,Desk 414,OK
415,Bicycle,B2C,Desk 415,OK
416,Bicycle,B2C,Desk 416,OK
417,Bicycle,B2C,Desk 417,OK
418,Bicycle,B2C,Desk 418,OK
419,Bicycle,B2C,Desk 419,OK
420,Bicycle,B2C,Desk 420,OK
421,Bicycle,B2C,Desk 421,OK
422,Bicycle,B2C,Desk 422,OK
423,Bicycle,B2C,Desk 423,OK
424,Bicycle,B2C,Desk 424,OK
425,Bicycle,B2C,Desk 425,OK
426,Bicycle,B2C,Desk 426,OK
427,Bicycle,B2C,Desk 427,OK
428,Bicycle,B2C,Desk 428,OK
429,Bicycle,B2C,Desk 429,OK
430,Bicycle,B2C,Desk 430,OK
431,Bicycle,B2C,Desk 431,OK
432,Bicycle,B2C,Desk 432,OK
433,Bicycle,B2C,Desk 433,OK
434,Bicycle,B2C,Desk 434,OK
435,Bicycle,B2C,Desk 435,OK
436,Bicycle,B2C,Desk 436,OK
437,Bicycle,B2C,Desk 437,OK
438,Bicycle,B2C,Desk 438,OK
439,Bicycle,B2C,Desk 439,OK
440,Bicycle,B2C,Desk 440,OK
441,Bicycle,B2C,Desk 441,OK
442,Bicycle,B2C,Desk 442,OK
443,Bicycle,B2C,Desk 443,OK
444,Bicycle,B2C,Desk 444,OK
445,Bicycle,B2C,Desk 445,OK
446,Bicycle,B2C,Desk 446,OK
447,Bicycle,B2C,Desk 447,OK
448,Bicycle,B2C,Desk 448,OK
449,Bicycle,B2C,Desk 449,OK
450,Bicycle,B2C,Desk 450,OK
451,Bicycle,B2C,Desk 451,OK
452,Bicycle,B2C,Desk 452,OK
453,Bicycle,B2C,Desk 453,OK
454,Bicycle,B2C,Desk 454,OK
455,Bicycle,B2C,Desk 455,OK
456,Bicycle,B2C,Desk 456,OK
457,Bicycle,B2C,Desk 457,OK
458,Bicycle,B2C,Desk 458,OK
459,Bicycle,B2C,Desk 459,OK
460,Bicycle,B2C,Desk 460,OK
461,Bicycle,B2C,Desk 461,OK
462,Bicycle,B2C,Desk 462,OK
463,Bicycle,B2C,Desk 463,OK
464,Bicycle,B2C,Desk 464,OK
465,Bicycle,B2C,Desk 465,OK
466,Bicycle,B2C,Desk 466,OK
467,Bicycle,B2C,Desk 467,OK
468,Bicycle,B2C,Desk 468,OK
469,Bicycle,B2C,Desk 469,OK
470,Bicycle,B2C,Desk 470,OK
471,Bicycle,B2C,Desk 471,OK
472,Bicycle,B2C,Desk 472,OK
473,Bicycle,B2C,Desk 473,OK
474,Bicycle,B2C,Desk 474,OK
475,Bicycle,B2C,Desk 475,OK
476,Bicycle,B2C,Desk 476,OK
477,Bicycle,B2C,Desk 477,OK
478,Bicycle,B2C,Desk 478,OK
479,Bicycle,B2C,Desk 479,OK
480,Bicycle,B2C,Desk 480,OK
481,Bicycle,B2C,Desk 481,OK
482,Bicycle,B2C,Desk 482,OK
483,Bicycle,B2C,Desk 483,OK
484,Bicycle,B2C,Desk 484,OK
485,Bicycle,B2C,Desk 485,OK
486,Bicycle,B2C,Desk 486,OK
487,Bicycle,B2C,Desk 487,OK
488,Bicycle,B2C,Desk 488,OK
489,Bicycle,B2C,Desk 489,OK
490,Bicycle,B2C,Desk 490,OK
491,Bicycle,B2C,Desk 491,OK
492,Bicycle,B2C,Desk 492,OK
493,Bicycle,B2C,Desk 493,OK
494,Bicycle,B2C,Desk 494,OK
495,Bicycle,B2C,Desk 495,OK
496,Bicycle,B2C,Desk 496,OK
497,Bicycle,B2C,Desk 497,OK
498,Bicycle,B2C,Desk 498,OK
499,Bicycle,B2C,Desk 499,OK
500,Bicycle,B2C,Desk 500,OK
501,Bicycle,B2C,Desk 501,OK
502,Bicycle,B2C,Desk 502,OK
503,Bicycle,B2C,Desk 503,OK
504,Bicycle,B2C,Desk 504,OK
505,Bicycle,B2C,Desk 505,OK
506,Bicycle,B2C,Desk 506,OK
507,Bicycle,B2C,Desk 507,OK
508,Bicycle,B2C,Desk 508,OK
509,Bicycle,B2C,Desk 509,OK
510,Bicycle,B2C,Desk 510,OK
511,Bicycle,B2C,Desk 511,OK
512,Bicycle,B2C,Desk 512,OK
513,Bicycle,B2C,Desk 513,OK
514,Bicycle,B2C,Desk 514,OK
515,Bicycle,B2C,Desk 515,OK
516,Bicycle,B2C,Desk 516,OK
517,Bicycle,B2C,Desk 517,OK
518,Bicycle,B2C,Desk 518,OK
519,Bicycle,B2C,Desk 519,OK
520,Bicycle,B2C,Desk 520,OK
521,Bicycle,B2C,Desk 521,OK
522,Bicycle,B2C,Desk 522,OK
523,Bicycle,B2C,Desk 523,OK
524,Bicycle,B2C,Desk 524,OK
525,Bicycle,B2C,Desk 525,OK
526,Bicycle,B2C,Desk 526,OK
527,Bicycle,B2C,Desk 527,OK
528,Bicycle,B2C,Desk 528,OK
529,Bicycle,B2C,Desk 529,OK
530,Bicycle,B2C,Desk 530,OK
531,Bicycle,B2C,Desk 531,OK
532,Bicycle,B2C,Desk 532,OK
533,Bicycle,B2C,Desk 533,OK
534,Bicycle,B2C,Desk 534,OK
535,Bicycle,B2C,Desk 535,OK
536,Bicycle,B2C,Desk 536,OK
537,Bicycle,B2C,Desk 537,OK
538,Bicycle,B2C,Desk 538,OK
539,Bicycle,B2C,Desk 539,OK
540,Bicycle,B2C,Desk 540,OK
541,Bicycle,B2C,Desk 541,OK
542,Bicycle,B2C,Desk 542,OK
543,Bicycle,B2C,Desk 543,OK
544,Bicycle,B2C,Desk 544,OK
545,Bicycle,B2C,Desk 545,OK
546,Bicycle,B2C,Desk 546,OK
547,Bicycle,B2C,Desk 547,OK
548,Bicycle,B2C,Desk 548,OK
549,Bicycle,B2C,Desk 549,OK
550,Bicycle,B2C,Desk 550,OK
551,Bicycle,B2C,Desk 551,OK
552,Bicycle,B2C,Desk 552,OK
553,Bicycle,B2C,Desk 553,OK
554,Bicycle,B2C,Desk 554,OK
555,Bicycle,B2C,Desk 555,OK
556,Bicycle,B2C,Desk 556,OK
557,Bicycle,B2C,Desk 557,OK
558,Bicycle,B2C,Desk 558,OK
559,Bicycle,B2C,Desk 559,OK
560,Bicycle,B2C,Desk 560,OK
561,Bicycle,B2C,Desk 561,OK
562,Bicycle,B2C,Desk 562,OK
563,Bicycle,B2C,Desk 563,OK
564,Bicycle,B2C,Desk 564,OK
565,Bicycle,B2C,Desk 565,OK
566,Bicycle,B2C,Desk 566,OK
567,Bicycle,B2C,Desk 567,OK
568,Bicycle,B2C,Desk 568,OK
569,Bicycle,B2C,Desk 569,OK
570,Bicycle,B2C,Desk 570,OK
571,Bicycle,B2C,Desk 571,OK
572,Bicycle,B2C,Desk 572,OK
573,Bicycle,B2C,Desk 573,OK
574,Bicycle,B2C,Desk 574,OK
575,Bicycle,B2C,Desk 575,OK
576,Bicycle,B2C,Desk 576,OK
577,Bicycle,B2C,Desk 577,OK
578,Bicycle,B2C,Desk 578,OK
579,Bicycle,B2C,Desk 579,OK
580,Bicycle,B2C,Desk 580,OK
581,Bicycle,B2C,Desk 581,OK
582,Bicycle,B2C,Desk 582,OK
583,Bicycle,B2C,Desk 583,OK
584,Bicycle,B2C,Desk 584,OK
585,Bicycle,B2C,Desk 585,OK
586,Bicycle,B2C,Desk 586,OK
587,Bicycle,B2C,Desk 587,OK
588,Bicycle,B2C,Desk 588,OK
589,Bicycle,B2C,Desk 589,OK
590,Bicycle,B2C,Desk 590,OK
591,Bicycle,B2C,Desk 591,OK
592,Bicycle,B2C,Desk 592,OK
593,Bicycle,B2C,Desk 593,OK
594,Bicycle,B2C,Desk 594,OK
595,Bicycle,B2C,Desk 595,OK
596,Bicycle,B2C,Desk 596,OK
597,Bicycle,B2C,Desk 597,OK
598,Bicycle,B2C,Desk 598,OK
599,Bicycle,B2C,Desk 599,OK
600,Bicycle,B2C,Desk 600,OK
601,Bicycle,B2C,Desk 601,OK
602,Bicycle,B2C,Desk 602,OK
603,Bicycle,B2C,Desk 603,OK
604,Bicycle,B2C,Desk 604,OK
605,Bicycle,B2C,Desk 605,OK
606,Bicycle,B2C,Desk 606,OK
607,Bicycle,B2C,Desk 607,OK
608,Bicycle,B2C,Desk 608,OK
609,Bicycle,B2C,Desk 609,OK
610,Bicycle,B2C,Desk 610,OK
611,Bicycle,B2C,Desk 611,OK
612,Bicycle,B2C,Desk 612,OK
613,Bicycle,B2C,Desk 613,OK
614,Bicycle,B2C,Desk 614,OK
615,Bicycle,B2C,Desk 615,OK
616,Bicycle,B2C,Desk 616,OK
617,Bicycle,B2C,Desk 617,OK
618,Bicycle,B2C,Desk 618,OK
619,Bicycle,B2C,Desk 619,OK
620,Bicycle,B2C,Desk 620,OK
621,Bicycle,B2C,Desk 621,OK
622,Bicycle,B2C,Desk 622,OK
623,Bicycle,B2C,Desk 623,OK
624,Bicycle,B2C,Desk 624,OK
625,Bicycle,B2C,Desk 625,OK
626,Bicycle,B2C,Desk 626,OK
627,Bicycle,B2C,Desk 627,OK
628,Bicycle,B2C,Desk 628,OK
629,Bicycle,B2C,Desk 629,OK
630,Bicycle,B2C,Desk 630,OK
631,Bicycle,B2C,Desk 631,OK
632,Bicycle,B2C,Desk 632,OK
633,Bicycle,B2C,Desk 633,OK
634,Bicycle,B2C,Desk 634,OK
635,Bicycle,B2C,Desk 635,OK
636,Bicycle,B2C,Desk 636,OK
637,Bicycle,B2C,Desk 637,OK
638,Bicycle,B2C,Desk 638,OK
639,Bicycle,B2C,Desk 639,OK
640,Bicycle,B2C,Desk 640,OK
641,Bicycle,B2C,Desk 641,OK
642,Bicycle,B2C,Desk 642,OK
643,Bicycle,B2C,Desk 643,OK
644,Bicycle,B2C,Desk 644,OK
645,Bicycle,B2C,Desk 645,OK
646,Bicycle,B2C,Desk 646,OK
647,Bicycle,B2C,Desk 647,OK
648,Bicycle,B2C,Desk 648,OK
649,Bicycle,B2C,Desk 649,OK
650,Bicycle,B2C,Desk 650,OK
651,Bicycle,B2C,Desk 651,OK
652,Bicycle,B2C,Desk 652,OK
653,Bicycle,B2C,Desk 653,OK
654,Bicycle,B2C,Desk 654,OK
655,Bicycle,B2C,Desk 655,OK
656,Bicycle,B2C,Desk 656,OK
657,Bicycle,B2C,Desk 657,OK
658,Bicycle,B2C,Desk 658,OK
659,Bicycle,B2C,Desk 659,OK
660,Bicycle,B2C,Desk 660,OK
661,Bicycle,B2C,Desk 661,OK
662,Bicycle,B2C,Desk 662,OK
663,Bicycle,B2C,Desk 663,OK
664,Bicycle,B2C,Desk 664,OK
665,Bicycle,B2C,Desk 665,OK
666,Bicycle,B2C,Desk 666,OK
667,Bicycle,B2C,Desk 667,OK
668,Bicycle,B2C,Desk 668,OK
669,Bicycle,B2C,Desk 669,OK
670,Bicycle,B2C,Desk 670,OK
671,Bicycle,B2C,Desk 671,OK
672,Bicycle,B2C,Desk 672,OK
673,Bicycle,B2C,Desk 673,OK
674,Bicycle,B2C,Desk 674,OK
